event_id,STAID,BEGIN_DATE_TIME,END_DATE_TIME,peak_time,peak_flow_cfs,volume_acreft,flashiness_index,YEAR,month,day,water_year,duration_hours,time_to_peak_h,gage_lat,gage_lon,index_right,gage_flowpath-id,gage_snap_dist_m,gage_cat-id
43,02085000,2020-11-26 12:00:00+00:00,2020-11-28 13:15:00+00:00,2020-11-26 14:45:00+00:00,57.4,190.71074380165288,0.0054360135900339,2020,11,26,2021,49.25,2.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
44,02085000,2020-11-28 14:15:00+00:00,2020-11-28 21:45:00+00:00,2020-11-28 17:45:00+00:00,44.8,26.90289256198347,0.0041663566698906,2020,11,28,2021,7.5,3.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
45,02085000,2020-11-29 13:15:00+00:00,2020-11-29 20:45:00+00:00,2020-11-29 16:30:00+00:00,42.0,25.1198347107438,0.0043024460202374,2020,11,29,2021,7.5,3.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
46,02085000,2020-11-30 05:15:00+00:00,2020-12-02 06:45:00+00:00,2020-11-30 13:30:00+00:00,1190.0,1921.9421487603304,0.0238767513017338,2020,11,30,2021,49.5,8.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
47,02085000,2020-12-05 03:00:00+00:00,2020-12-07 04:30:00+00:00,2020-12-05 12:15:00+00:00,560.0,1001.043388429752,0.017764877827868,2020,12,5,2021,49.5,9.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
48,02085000,2020-12-08 02:00:00+00:00,2020-12-08 08:00:00+00:00,2020-12-08 04:00:00+00:00,120.0,58.7603305785124,0.0020263424518743,2020,12,8,2021,6.0,2.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
49,02085000,2020-12-09 11:45:00+00:00,2020-12-09 15:15:00+00:00,2020-12-09 13:15:00+00:00,92.1,26.423553719008265,0.0021905805038335,2020,12,9,2021,3.5,1.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
50,02085000,2020-12-10 16:00:00+00:00,2020-12-10 23:45:00+00:00,2020-12-10 18:00:00+00:00,83.3,52.832644628099175,0.0021231422505307,2020,12,10,2021,7.75,2.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
51,02085000,2020-12-12 04:15:00+00:00,2020-12-12 04:30:00+00:00,2020-12-12 04:15:00+00:00,75.0,1.549586776859504,0.0,2020,12,12,2021,0.25,0.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
52,02085000,2020-12-12 11:00:00+00:00,2020-12-13 03:30:00+00:00,2020-12-12 21:15:00+00:00,81.8,105.90702479338844,0.0031156242787906,2020,12,12,2021,16.5,10.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
